task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session
Some;trainers;designers/Some;architects;trainers,NVC,All;designers;architects|All;architects;designers|No;designers;architects|No;architects;designers|Some;designers;architects|Some;architects;designers|Some not;designers;architects|Some not;architects;designers|Most;designers;architects|Most;architects;designers|Most not;designers;architects|Most not;architects;designers|NVC,syllogistic-generalized,single-choice,participant_0,10,60261.0,II2,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;swimmers;mayors/No;swimmers;cooks,NVC,All;mayors;cooks|All;cooks;mayors|No;mayors;cooks|No;cooks;mayors|Some;mayors;cooks|Some;cooks;mayors|Some not;mayors;cooks|Some not;cooks;mayors|Most;mayors;cooks|Most;cooks;mayors|Most not;mayors;cooks|Most not;cooks;mayors|NVC,syllogistic-generalized,single-choice,participant_0,11,104007.0,EE4,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some not;lawyers;athletes/Some not;athletes;hunters,Some;lawyers;hunters,All;lawyers;hunters|All;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|Most;lawyers;hunters|Most;hunters;lawyers|Most not;lawyers;hunters|Most not;hunters;lawyers|NVC,syllogistic-generalized,single-choice,participant_0,12,137411.0,OO1,Iac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most not;judges;brewers/Most;judges;porters,Most not;porters;brewers,All;brewers;porters|All;porters;brewers|No;brewers;porters|No;porters;brewers|Some;brewers;porters|Some;porters;brewers|Some not;brewers;porters|Some not;porters;brewers|Most;brewers;porters|Most;porters;brewers|Most not;brewers;porters|Most not;porters;brewers|NVC,syllogistic-generalized,single-choice,participant_0,13,66558.0,DT4,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most;doctors;climbers/Most not;doctors;tellers,Most not;climbers;tellers,All;climbers;tellers|All;tellers;climbers|No;climbers;tellers|No;tellers;climbers|Some;climbers;tellers|Some;tellers;climbers|Some not;climbers;tellers|Some not;tellers;climbers|Most;climbers;tellers|Most;tellers;climbers|Most not;climbers;tellers|Most not;tellers;climbers|NVC,syllogistic-generalized,single-choice,participant_0,14,29380.0,TD4,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;linguists;divers/All;carpenters;linguists,Some;carpenters;divers,All;divers;carpenters|All;carpenters;divers|No;divers;carpenters|No;carpenters;divers|Some;divers;carpenters|Some;carpenters;divers|Some not;divers;carpenters|Some not;carpenters;divers|Most;divers;carpenters|Most;carpenters;divers|Most not;divers;carpenters|Most not;carpenters;divers|NVC,syllogistic-generalized,single-choice,participant_0,15,69956.0,IA2,Ica,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;designers;trainers/Most;architects;trainers,NVC,All;designers;architects|All;architects;designers|No;designers;architects|No;architects;designers|Some;designers;architects|Some;architects;designers|Some not;designers;architects|Some not;architects;designers|Most;designers;architects|Most;architects;designers|Most not;designers;architects|Most not;architects;designers|NVC,syllogistic-generalized,single-choice,participant_0,16,73430.0,IT3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
All;novelists;analysts/All;analysts;travelers,All;novelists;travelers,All;novelists;travelers|All;travelers;novelists|No;novelists;travelers|No;travelers;novelists|Some;novelists;travelers|Some;travelers;novelists|Some not;novelists;travelers|Some not;travelers;novelists|Most;novelists;travelers|Most;travelers;novelists|Most not;novelists;travelers|Most not;travelers;novelists|NVC,syllogistic-generalized,single-choice,participant_0,17,17179.0,AA1,Aac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;skaters;poets/Some not;miners;skaters,Some not;miners;poets,All;poets;miners|All;miners;poets|No;poets;miners|No;miners;poets|Some;poets;miners|Some;miners;poets|Some not;poets;miners|Some not;miners;poets|Most;poets;miners|Most;miners;poets|Most not;poets;miners|Most not;miners;poets|NVC,syllogistic-generalized,single-choice,participant_0,18,53914.0,EO2,Oca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;boxers;typists/Most;boxers;dancers,No;dancers;typists,All;typists;dancers|All;dancers;typists|No;typists;dancers|No;dancers;typists|Some;typists;dancers|Some;dancers;typists|Some not;typists;dancers|Some not;dancers;typists|Most;typists;dancers|Most;dancers;typists|Most not;typists;dancers|Most not;dancers;typists|NVC,syllogistic-generalized,single-choice,participant_0,19,170795.0,ET4,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
All;tailors;pilots/No;tailors;singers,No;singers;pilots,All;pilots;singers|All;singers;pilots|No;pilots;singers|No;singers;pilots|Some;pilots;singers|Some;singers;pilots|Some not;pilots;singers|Some not;singers;pilots|Most;pilots;singers|Most;singers;pilots|Most not;pilots;singers|Most not;singers;pilots|NVC,syllogistic-generalized,single-choice,participant_0,20,26886.0,AE4,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
All;fencers;campers/Some;fencers;engineers,Some;campers;engineers,All;campers;engineers|All;engineers;campers|No;campers;engineers|No;engineers;campers|Some;campers;engineers|Some;engineers;campers|Some not;campers;engineers|Some not;engineers;campers|Most;campers;engineers|Most;engineers;campers|Most not;campers;engineers|Most not;engineers;campers|NVC,syllogistic-generalized,single-choice,participant_0,21,32581.0,AI4,Iac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most not;actors;painters/Some not;actors;workers,Most not;workers;painters,All;painters;workers|All;workers;painters|No;painters;workers|No;workers;painters|Some;painters;workers|Some;workers;painters|Some not;painters;workers|Some not;workers;painters|Most;painters;workers|Most;workers;painters|Most not;painters;workers|Most not;workers;painters|NVC,syllogistic-generalized,single-choice,participant_0,22,126321.0,DO4,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;editors;florists/Most not;editors;soldiers,Some not;florists;soldiers,All;florists;soldiers|All;soldiers;florists|No;florists;soldiers|No;soldiers;florists|Some;florists;soldiers|Some;soldiers;florists|Some not;florists;soldiers|Some not;soldiers;florists|Most;florists;soldiers|Most;soldiers;florists|Most not;florists;soldiers|Most not;soldiers;florists|NVC,syllogistic-generalized,single-choice,participant_0,23,136758.0,ID4,Oac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;farmers;scholars/Most;assistants;farmers,Most not;assistants;scholars,All;scholars;assistants|All;assistants;scholars|No;scholars;assistants|No;assistants;scholars|Some;scholars;assistants|Some;assistants;scholars|Some not;scholars;assistants|Some not;assistants;scholars|Most;scholars;assistants|Most;assistants;scholars|Most not;scholars;assistants|Most not;assistants;scholars|NVC,syllogistic-generalized,single-choice,participant_0,24,25297.0,ET2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
All;cleaners;painters/Some;painters;auditors,Some;cleaners;auditors,All;cleaners;auditors|All;auditors;cleaners|No;cleaners;auditors|No;auditors;cleaners|Some;cleaners;auditors|Some;auditors;cleaners|Some not;cleaners;auditors|Some not;auditors;cleaners|Most;cleaners;auditors|Most;auditors;cleaners|Most not;cleaners;auditors|Most not;auditors;cleaners|NVC,syllogistic-generalized,single-choice,participant_0,25,20504.0,AI1,Iac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;jugglers;investors/Most;investors;barbers,Most not;jugglers;barbers,All;jugglers;barbers|All;barbers;jugglers|No;jugglers;barbers|No;barbers;jugglers|Some;jugglers;barbers|Some;barbers;jugglers|Some not;jugglers;barbers|Some not;barbers;jugglers|Most;jugglers;barbers|Most;barbers;jugglers|Most not;jugglers;barbers|Most not;barbers;jugglers|NVC,syllogistic-generalized,single-choice,participant_0,26,77553.0,ET1,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most not;climbers;skaters/Most;therapists;skaters,Most not;climbers;therapists,All;climbers;therapists|All;therapists;climbers|No;climbers;therapists|No;therapists;climbers|Some;climbers;therapists|Some;therapists;climbers|Some not;climbers;therapists|Some not;therapists;climbers|Most;climbers;therapists|Most;therapists;climbers|Most not;climbers;therapists|Most not;therapists;climbers|NVC,syllogistic-generalized,single-choice,participant_0,27,29324.0,DT3,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some not;riders;counselors/Most not;joggers;counselors,NVC,All;riders;joggers|All;joggers;riders|No;riders;joggers|No;joggers;riders|Some;riders;joggers|Some;joggers;riders|Some not;riders;joggers|Some not;joggers;riders|Most;riders;joggers|Most;joggers;riders|Most not;riders;joggers|Most not;joggers;riders|NVC,syllogistic-generalized,single-choice,participant_0,28,11874.0,OD3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most;buyers;cyclists/Some not;buyers;students,Some not;cyclists;students,All;cyclists;students|All;students;cyclists|No;cyclists;students|No;students;cyclists|Some;cyclists;students|Some;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|Most;cyclists;students|Most;students;cyclists|Most not;cyclists;students|Most not;students;cyclists|NVC,syllogistic-generalized,single-choice,participant_0,29,24766.0,TO4,Oac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;painters;auditors/No;auditors;cleaners,No;painters;cleaners,All;painters;cleaners|All;cleaners;painters|No;painters;cleaners|No;cleaners;painters|Some;painters;cleaners|Some;cleaners;painters|Some not;painters;cleaners|Some not;cleaners;painters|Most;painters;cleaners|Most;cleaners;painters|Most not;painters;cleaners|Most not;cleaners;painters|NVC,syllogistic-generalized,single-choice,participant_0,30,14548.0,EE1,Eac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;dentists;lifeguards/Most;lifeguards;plumbers,NVC,All;dentists;plumbers|All;plumbers;dentists|No;dentists;plumbers|No;plumbers;dentists|Some;dentists;plumbers|Some;plumbers;dentists|Some not;dentists;plumbers|Some not;plumbers;dentists|Most;dentists;plumbers|Most;plumbers;dentists|Most not;dentists;plumbers|Most not;plumbers;dentists|NVC,syllogistic-generalized,single-choice,participant_0,31,28164.0,IT1,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most;packers;tutors/No;tutors;butchers,No;butchers;packers,All;packers;butchers|All;butchers;packers|No;packers;butchers|No;butchers;packers|Some;packers;butchers|Some;butchers;packers|Some not;packers;butchers|Some not;butchers;packers|Most;packers;butchers|Most;butchers;packers|Most not;packers;butchers|Most not;butchers;packers|NVC,syllogistic-generalized,single-choice,participant_0,32,30441.0,TE1,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
All;planners;surfers/All;planners;artists,NVC,All;surfers;artists|All;artists;surfers|No;surfers;artists|No;artists;surfers|Some;surfers;artists|Some;artists;surfers|Some not;surfers;artists|Some not;artists;surfers|Most;surfers;artists|Most;artists;surfers|Most not;surfers;artists|Most not;artists;surfers|NVC,syllogistic-generalized,single-choice,participant_0,33,41756.0,AA4,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
All;managers;clerks/Most not;clerks;models,Most not;managers;models,All;managers;models|All;models;managers|No;managers;models|No;models;managers|Some;managers;models|Some;models;managers|Some not;managers;models|Some not;models;managers|Most;managers;models|Most;models;managers|Most not;managers;models|Most not;models;managers|NVC,syllogistic-generalized,single-choice,participant_0,34,158229.0,AD1,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some not;golfers;teachers/Most;teachers;bankers,Some not;golfers;bankers,All;golfers;bankers|All;bankers;golfers|No;golfers;bankers|No;bankers;golfers|Some;golfers;bankers|Some;bankers;golfers|Some not;golfers;bankers|Some not;bankers;golfers|Most;golfers;bankers|Most;bankers;golfers|Most not;golfers;bankers|Most not;bankers;golfers|NVC,syllogistic-generalized,single-choice,participant_0,35,149944.0,OT1,Oac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some not;athletes;lawyers/Some not;hunters;athletes,NVC,All;lawyers;hunters|All;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|Most;lawyers;hunters|Most;hunters;lawyers|Most not;lawyers;hunters|Most not;hunters;lawyers|NVC,syllogistic-generalized,single-choice,participant_0,36,18292.0,OO2,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most not;cyclists;students/Some;buyers;cyclists,Most not;buyers;students,All;students;buyers|All;buyers;students|No;students;buyers|No;buyers;students|Some;students;buyers|Some;buyers;students|Some not;students;buyers|Some not;buyers;students|Most;students;buyers|Most;buyers;students|Most not;students;buyers|Most not;buyers;students|NVC,syllogistic-generalized,single-choice,participant_0,37,15013.0,DI2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most;sculptors;gamblers/Most not;gamblers;bakers,Most not;sculptors;bakers,All;sculptors;bakers|All;bakers;sculptors|No;sculptors;bakers|No;bakers;sculptors|Some;sculptors;bakers|Some;bakers;sculptors|Some not;sculptors;bakers|Some not;bakers;sculptors|Most;sculptors;bakers|Most;bakers;sculptors|Most not;sculptors;bakers|Most not;bakers;sculptors|NVC,syllogistic-generalized,single-choice,participant_0,38,64790.0,TD1,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most;cashiers;waiters/No;cashiers;poets,Some;waiters;poets,All;waiters;poets|All;poets;waiters|No;waiters;poets|No;poets;waiters|Some;waiters;poets|Some;poets;waiters|Some not;waiters;poets|Some not;poets;waiters|Most;waiters;poets|Most;poets;waiters|Most not;waiters;poets|Most not;poets;waiters|NVC,syllogistic-generalized,single-choice,participant_0,39,102991.0,TE4,Iac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most not;hikers;writers/All;drivers;hikers,Most not;drivers;writers,All;writers;drivers|All;drivers;writers|No;writers;drivers|No;drivers;writers|Some;writers;drivers|Some;drivers;writers|Some not;writers;drivers|Some not;drivers;writers|Most;writers;drivers|Most;drivers;writers|Most not;writers;drivers|Most not;drivers;writers|NVC,syllogistic-generalized,single-choice,participant_0,40,104063.0,DA2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;sailors;potters/All;potters;chemists,Some;chemists;sailors,All;sailors;chemists|All;chemists;sailors|No;sailors;chemists|No;chemists;sailors|Some;sailors;chemists|Some;chemists;sailors|Some not;sailors;chemists|Some not;chemists;sailors|Most;sailors;chemists|Most;chemists;sailors|Most not;sailors;chemists|Most not;chemists;sailors|NVC,syllogistic-generalized,single-choice,participant_0,41,16500.0,IA1,Ica,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;campers;engineers/Some;fencers;engineers,No;campers;fencers,All;campers;fencers|All;fencers;campers|No;campers;fencers|No;fencers;campers|Some;campers;fencers|Some;fencers;campers|Some not;campers;fencers|Some not;fencers;campers|Most;campers;fencers|Most;fencers;campers|Most not;campers;fencers|Most not;fencers;campers|NVC,syllogistic-generalized,single-choice,participant_0,42,35042.0,EI3,Eac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;tutors;butchers/Most not;packers;tutors,Most not;packers;butchers,All;butchers;packers|All;packers;butchers|No;butchers;packers|No;packers;butchers|Some;butchers;packers|Some;packers;butchers|Some not;butchers;packers|Some not;packers;butchers|Most;butchers;packers|Most;packers;butchers|Most not;butchers;packers|Most not;packers;butchers|NVC,syllogistic-generalized,single-choice,participant_0,43,27631.0,ID2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some not;skaters;miners/Some;poets;skaters,Some;poets;miners,All;miners;poets|All;poets;miners|No;miners;poets|No;poets;miners|Some;miners;poets|Some;poets;miners|Some not;miners;poets|Some not;poets;miners|Most;miners;poets|Most;poets;miners|Most not;miners;poets|Most not;poets;miners|NVC,syllogistic-generalized,single-choice,participant_0,44,26531.0,OI2,Ica,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most not;waiters;poets/Some not;cashiers;poets,NVC,All;waiters;cashiers|All;cashiers;waiters|No;waiters;cashiers|No;cashiers;waiters|Some;waiters;cashiers|Some;cashiers;waiters|Some not;waiters;cashiers|Some not;cashiers;waiters|Most;waiters;cashiers|Most;cashiers;waiters|Most not;waiters;cashiers|Most not;cashiers;waiters|NVC,syllogistic-generalized,single-choice,participant_0,45,12802.0,DO3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;joggers;riders/No;counselors;riders,NVC,All;joggers;counselors|All;counselors;joggers|No;joggers;counselors|No;counselors;joggers|Some;joggers;counselors|Some;counselors;joggers|Some not;joggers;counselors|Some not;counselors;joggers|Most;joggers;counselors|Most;counselors;joggers|Most not;joggers;counselors|Most not;counselors;joggers|NVC,syllogistic-generalized,single-choice,participant_0,46,24844.0,EE3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;plumbers;dentists/Most not;lifeguards;dentists,Most not;lifeguards;plumbers,All;plumbers;lifeguards|All;lifeguards;plumbers|No;plumbers;lifeguards|No;lifeguards;plumbers|Some;plumbers;lifeguards|Some;lifeguards;plumbers|Some not;plumbers;lifeguards|Some not;lifeguards;plumbers|Most;plumbers;lifeguards|Most;lifeguards;plumbers|Most not;plumbers;lifeguards|Most not;lifeguards;plumbers|NVC,syllogistic-generalized,single-choice,participant_0,47,19241.0,ED3,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;agents;secretaries/Most not;brokers;agents,No;secretaries;brokers,All;secretaries;brokers|All;brokers;secretaries|No;secretaries;brokers|No;brokers;secretaries|Some;secretaries;brokers|Some;brokers;secretaries|Some not;secretaries;brokers|Some not;brokers;secretaries|Most;secretaries;brokers|Most;brokers;secretaries|Most not;secretaries;brokers|Most not;brokers;secretaries|NVC,syllogistic-generalized,single-choice,participant_0,48,112105.0,ED2,Eac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;editors;florists/Some;soldiers;florists,NVC,All;editors;soldiers|All;soldiers;editors|No;editors;soldiers|No;soldiers;editors|Some;editors;soldiers|Some;soldiers;editors|Some not;editors;soldiers|Some not;soldiers;editors|Most;editors;soldiers|Most;soldiers;editors|Most not;editors;soldiers|Most not;soldiers;editors|NVC,syllogistic-generalized,single-choice,participant_0,49,9670.0,II3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;travelers;analysts/No;travelers;novelists,No;novelists;analysts,All;analysts;novelists|All;novelists;analysts|No;analysts;novelists|No;novelists;analysts|Some;analysts;novelists|Some;novelists;analysts|Some not;analysts;novelists|Some not;novelists;analysts|Most;analysts;novelists|Most;novelists;analysts|Most not;analysts;novelists|Most not;novelists;analysts|NVC,syllogistic-generalized,single-choice,participant_0,50,46683.0,IE4,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
